ADEP,ADES,cluster_kmeans,AC Type,n,delta_dist_nm_mean,delta_dist_nm_std,delta_dist_nm_p5,delta_dist_nm_p95,delta_duration_h_mean,delta_duration_h_std,delta_duration_h_p5,delta_duration_h_p95,delta_fuel_kg_mean,delta_fuel_kg_std,delta_fuel_kg_p5,delta_fuel_kg_p95
CYVR,EDDF,0,A332,5,-53.82,118.04,-157.7,99.78,-0.18,0.19,-0.42,-0.01,-1097.66,1167.97,-2543.98,-37.64
CYVR,EDDF,0,A339,5,-56.4,92.06,-117.0,70.52,-0.09,0.1,-0.19,0.04,-485.7,563.9,-1008.0,234.9
CYVR,EDDF,0,B789,8,-34.5,68.02,-89.4,73.45,0.01,0.2,-0.25,0.27,67.05,1098.18,-1397.09,1500.17
CYVR,EDDF,1,B789,7,-81.59,89.4,-128.5,54.2,-0.07,0.17,-0.24,0.15,-410.27,910.02,-1340.01,845.34
CYVR,EDDF,2,B789,5,-54.24,85.07,-147.56,38.74,-0.07,0.27,-0.41,0.19,-373.66,1483.49,-2241.84,1026.06
CYVR,EDDF,3,A332,2,-43.65,35.0,-65.93,-21.38,-0.06,0.47,-0.36,0.24,-370.85,2798.94,-2152.08,1410.38
CYVR,EDDF,3,A339,6,-64.53,104.85,-159.68,80.82,-0.07,0.15,-0.24,0.12,-379.0,795.13,-1303.88,643.12
CYVR,EDDF,3,B789,10,-54.22,46.33,-108.72,14.9,-0.05,0.19,-0.3,0.21,-289.06,1040.2,-1667.26,1149.83
CYVR,EGLL,0,A35K,12,14.51,43.82,-37.3,89.26,0.22,0.2,-0.03,0.52,1271.83,1172.64,-193.6,3026.42
CYVR,EGLL,0,B77W,4,12.88,40.21,-31.77,49.92,0.19,0.29,-0.14,0.46,1509.62,2247.4,-1065.35,3601.56
CYVR,EGLL,1,A35K,10,19.97,23.35,-1.27,58.23,0.31,0.2,0.02,0.6,1823.91,1151.51,91.51,3459.18
CYVR,EGLL,1,B77W,12,20.68,15.57,-3.23,41.3,0.18,0.14,-0.01,0.37,1389.89,1090.7,-83.11,2863.99
CYVR,EGLL,2,A35K,7,18.67,13.0,6.31,38.16,0.25,0.26,-0.01,0.6,1464.5,1482.36,-60.58,3486.46
CYVR,EGLL,2,B77W,14,28.98,27.81,-16.88,70.81,0.22,0.15,0.05,0.47,1733.75,1166.97,372.18,3668.2
CYYC,EDDF,0,A332,1,76.2,,76.2,76.2,0.26,,0.26,0.26,1556.7,,1556.7,1556.7
CYYC,EDDF,0,A333,5,-8.96,76.23,-81.2,87.8,-0.12,0.18,-0.33,0.04,-717.86,1101.04,-2059.84,244.52
CYYC,EDDF,0,B788,9,-64.34,70.3,-139.12,49.74,-0.11,0.13,-0.28,0.05,-593.96,681.3,-1449.3,281.96
CYYC,EDDF,1,B788,16,-68.8,40.13,-135.85,-15.88,-0.09,0.12,-0.24,0.08,-488.91,609.39,-1262.4,429.42
CYYC,EDDF,2,A332,2,-27.5,57.84,-64.31,9.31,-0.08,0.3,-0.28,0.11,-504.2,1806.66,-1653.95,645.55
CYYC,EDDF,2,A333,13,-40.39,39.8,-85.34,25.34,-0.13,0.15,-0.31,0.11,-802.51,911.43,-1947.24,699.46
CYYC,EDDF,2,B788,5,-45.72,67.52,-119.82,17.84,-0.1,0.14,-0.24,0.08,-495.48,730.03,-1263.92,393.72
CYYC,EGLL,0,B789,27,29.84,64.19,-26.83,137.62,0.28,0.2,-0.05,0.58,1566.26,1100.98,-283.94,3186.0
CYYC,EGLL,1,B789,18,6.26,40.91,-46.03,74.44,0.22,0.16,-0.02,0.4,1183.61,865.94,-93.89,2209.43
CYYC,EGLL,2,B788,1,-11.2,,-11.2,-11.2,0.12,,0.12,0.12,650.0,,650.0,650.0
CYYC,EGLL,2,B789,14,5.91,11.3,-14.32,17.53,0.26,0.14,0.05,0.45,1413.91,776.34,297.99,2468.33
CYYZ,EDDF,0,A339,2,-33.6,51.76,-66.54,-0.66,-0.22,0.07,-0.27,-0.17,-1182.0,394.57,-1433.1,-930.9
CYYZ,EDDF,0,B77W,2,-23.1,165.46,-128.4,82.2,-0.0,0.01,-0.01,0.01,-8.65,116.46,-82.76,65.46
CYYZ,EDDF,0,B788,2,-24.45,2.9,-26.3,-22.6,0.01,0.42,-0.26,0.27,28.15,2170.46,-1353.12,1409.42
CYYZ,EDDF,0,B789,5,-40.36,115.73,-132.76,117.26,-0.04,0.18,-0.17,0.2,-208.72,986.56,-910.24,1099.96
CYYZ,EDDF,1,A332,1,-45.9,,-45.9,-45.9,-0.01,,-0.01,-0.01,-36.7,,-36.7,-36.7
CYYZ,EDDF,1,A339,12,-40.07,28.07,-82.54,-0.39,-0.11,0.21,-0.35,0.2,-574.0,1108.35,-1868.02,1070.4
CYYZ,EDDF,1,B763,2,-51.7,13.15,-60.07,-43.33,-0.01,0.26,-0.18,0.15,-68.0,1405.45,-962.42,826.42
CYYZ,EDDF,1,B77W,5,-60.12,40.08,-101.24,-11.02,-0.15,0.27,-0.45,0.12,-1178.66,2137.93,-3496.54,912.14
CYYZ,EDDF,1,B788,18,-44.06,30.5,-88.56,-2.22,-0.08,0.25,-0.37,0.31,-403.85,1299.5,-1928.48,1587.69
CYYZ,EDDF,1,B789,9,-42.67,23.82,-76.82,-17.08,-0.06,0.22,-0.38,0.19,-311.67,1208.41,-2076.58,1027.86
CYYZ,EDDF,2,A332,3,-18.87,72.72,-65.66,52.87,-0.07,0.38,-0.44,0.21,-429.97,2270.2,-2654.83,1240.73
CYYZ,EDDF,2,A339,4,-62.15,59.38,-110.91,8.38,-0.17,0.29,-0.46,0.12,-912.75,1556.51,-2499.45,667.65
CYYZ,EDDF,2,B77L,1,-43.2,,-43.2,-43.2,-0.15,,-0.15,-0.15,-1148.3,,-1148.3,-1148.3
CYYZ,EDDF,2,B77W,3,-34.37,10.87,-42.03,-23.67,-0.07,0.19,-0.25,0.1,-520.73,1516.29,-1955.23,749.45
CYYZ,EDDF,2,B788,9,-43.06,38.57,-80.32,21.14,-0.06,0.26,-0.39,0.3,-293.34,1361.77,-2047.32,1538.4
CYYZ,EDDF,2,B789,6,-49.33,34.45,-85.3,-2.03,-0.04,0.19,-0.29,0.12,-239.62,1033.02,-1593.5,675.28
CYYZ,EDDM,0,A333,13,17.09,35.1,-21.52,68.4,0.01,0.41,-0.49,0.67,73.67,2537.55,-3061.92,4149.4
CYYZ,EDDM,0,A359,13,16.04,23.81,-18.76,53.42,0.02,0.24,-0.28,0.38,129.94,1374.3,-1631.54,2187.06
CYYZ,EDDM,1,A333,8,15.84,19.16,-11.37,36.86,0.01,0.23,-0.29,0.26,37.48,1430.17,-1775.93,1628.79
CYYZ,EDDM,1,A359,9,25.11,20.42,-3.32,53.74,0.08,0.13,-0.09,0.25,435.17,769.39,-532.56,1440.08
