ADEP,ADES,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
LTFM,UUDD,55,-68.6,42.1,-114.36,0.0,-0.12,0.09,-0.24,0.02,-283.13,221.93,-574.4,35.31
LTFM,UUEE,180,-87.28,29.79,-120.55,-32.27,-0.09,0.16,-0.32,0.22,-169.2,724.76,-968.83,910.5
LTFM,UUWW,245,-15.04,38.44,-104.58,10.92,-0.04,0.1,-0.22,0.08,-98.63,431.02,-568.7,410.34
LTFM,VABB,76,4.31,16.64,-13.3,25.95,-0.03,0.11,-0.13,0.13,-245.39,856.13,-940.9,976.65
LTFM,VIDP,60,3.34,11.52,-8.28,14.91,-0.05,0.04,-0.11,0.02,-394.2,320.15,-877.1,125.7
LTFM,VTBS,61,0.89,10.92,-17.5,14.0,-0.08,0.06,-0.15,0.02,-514.83,346.94,-909.3,192.8
LTFM,WMKK,64,3.42,15.31,-18.0,33.53,-0.01,0.14,-0.13,0.08,-58.14,762.26,-735.18,427.83
LTFM,WSSS,74,2.4,9.11,-11.99,17.99,0.07,0.05,0.01,0.15,439.36,273.94,53.56,871.09
LTFO,LTAC,60,15.53,19.94,-2.64,61.39,0.12,0.08,0.02,0.27,279.46,192.91,40.0,640.0
LTFO,LTFJ,116,-14.27,24.09,-51.72,19.1,0.01,0.13,-0.16,0.23,23.02,313.04,-381.25,565.83
LTFO,LTFM,155,-43.56,23.46,-69.29,0.0,-0.08,0.16,-0.2,0.06,-202.23,393.72,-500.0,146.0
LUKK,EPWA,60,-13.66,20.34,-42.82,19.04,-0.04,0.07,-0.14,0.05,-67.04,124.69,-274.12,96.06
LUKK,LLBG,56,9.48,26.12,-5.1,33.7,-0.02,0.1,-0.15,0.12,-42.19,249.01,-364.35,311.42
LUKK,LROP,86,-39.62,8.96,-52.75,-19.67,-0.25,0.06,-0.33,-0.13,-227.7,48.73,-299.38,-151.45
LUKK,LTAI,82,-1.09,25.86,-28.57,21.93,0.07,0.14,-0.05,0.2,170.93,335.51,-115.0,497.92
LUKK,LTFM,106,-16.83,17.54,-41.7,11.9,0.0,0.09,-0.08,0.13,6.06,237.57,-233.38,326.7
LUKK,UDYZ,75,-24.58,36.6,-51.51,22.09,-0.08,0.09,-0.2,0.07,-208.43,221.97,-488.87,166.63
LWSK,LOWW,60,-1.58,20.39,-28.76,39.87,0.03,0.06,-0.06,0.15,66.58,140.76,-127.08,303.75
LWSK,LTFM,60,-34.83,13.29,-52.13,-7.16,-0.06,0.1,-0.15,0.05,-155.8,259.69,-373.48,125.75
LWSK,LYBE,55,-11.28,23.77,-45.44,29.66,-0.02,0.11,-0.18,0.18,-21.59,98.87,-162.1,149.33
LXGB,EGKK,56,14.15,12.05,-5.7,35.52,0.13,0.11,-0.02,0.32,298.99,250.05,-49.65,718.8
LXGB,EGLL,63,14.08,11.15,-2.06,30.3,0.09,0.1,-0.09,0.27,235.88,251.49,-217.71,663.16
LYBE,EDDF,108,-12.18,23.11,-45.84,15.13,-0.11,0.09,-0.28,0.03,-264.83,228.55,-707.56,63.8
LYBE,EDDM,53,20.85,16.67,-0.76,51.68,-0.01,0.07,-0.12,0.12,-16.19,152.66,-287.16,241.62
LYBE,EHAM,101,14.55,12.48,-2.5,37.5,0.07,0.06,-0.04,0.17,166.03,140.56,-93.5,381.3
LYBE,LATI,59,-16.42,32.9,-40.42,10.75,-0.03,0.14,-0.17,0.11,-14.73,266.15,-317.44,244.85
LYBE,LCLK,67,-3.62,13.96,-30.53,15.22,0.04,0.08,-0.08,0.14,105.54,204.94,-208.37,400.0
LYBE,LDZA,60,3.52,11.38,-15.72,18.18,0.01,0.06,-0.07,0.08,12.7,96.46,-59.22,72.69
LYBE,LEBL,69,0.28,17.99,-31.02,25.66,0.01,0.09,-0.16,0.13,15.74,219.76,-363.4,357.76
LYBE,LFPG,61,-7.13,13.3,-25.5,19.3,0.03,0.07,-0.05,0.13,69.21,155.64,-113.7,289.1
LYBE,LGAV,77,-11.19,21.47,-36.16,23.84,-0.01,0.11,-0.17,0.17,-22.15,262.59,-383.82,392.94
LYBE,LHBP,61,-33.4,17.53,-60.0,-4.5,-0.06,0.07,-0.17,0.05,-56.88,68.15,-149.8,48.0
