ADEP,ADES,cluster_kmeans,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
LEPA,EDDH,1,18,-40.41,18.53,-71.69,-7.33,-0.12,0.08,-0.23,-0.01,-294.52,187.73,-557.88,-12.98
LEPA,EDDH,2,37,-37.53,15.33,-59.8,-9.28,-0.1,0.06,-0.19,0.0,-242.48,154.83,-461.38,12.8
LEPA,EDDH,3,15,-55.23,25.95,-93.57,-25.64,-0.15,0.08,-0.26,-0.06,-371.86,177.5,-638.46,-141.38
LEPA,EDDK,0,160,-24.24,15.62,-46.68,3.82,-0.09,0.09,-0.22,0.03,-208.14,213.89,-558.32,69.52
LEPA,EDDK,1,15,6.41,37.36,-18.62,49.74,0.04,0.14,-0.15,0.24,78.58,319.35,-383.62,561.71
LEPA,EDDK,2,83,-12.5,19.33,-42.0,18.92,-0.02,0.09,-0.14,0.12,-41.49,210.98,-353.39,273.1
LEPA,EDDK,3,15,-31.36,15.8,-56.51,-15.68,-0.1,0.06,-0.21,-0.04,-244.84,139.96,-518.63,-89.9
LEPA,EDDK,4,49,-23.06,10.91,-36.98,-11.8,-0.02,0.08,-0.14,0.04,-57.8,203.68,-340.7,104.0
LEPA,EDDL,0,206,-20.05,21.03,-50.92,16.92,-0.05,0.09,-0.19,0.11,-169.22,352.07,-805.4,310.77
LEPA,EDDL,1,101,-24.8,16.95,-55.1,5.3,-0.04,0.06,-0.13,0.08,-96.09,166.66,-364.7,195.8
LEPA,EDDL,2,16,-34.09,21.27,-66.0,-6.3,-0.03,0.09,-0.16,0.13,-75.47,217.84,-389.58,351.35
LEPA,EDDL,3,52,-27.35,19.37,-51.82,9.42,-0.04,0.07,-0.17,0.07,-118.07,194.51,-475.16,163.76
LEPA,EDDL,4,20,-21.68,20.96,-43.23,6.75,-0.04,0.07,-0.14,0.07,-86.58,176.93,-383.52,149.57
LEPA,EDDM,0,97,-8.33,11.75,-28.76,9.42,-0.11,0.06,-0.2,-0.01,-275.52,149.32,-492.8,-24.14
LEPA,EDDM,1,140,-6.05,16.27,-25.8,18.47,-0.08,0.07,-0.2,0.04,-204.28,187.14,-494.27,96.32
LEPA,EDDN,0,142,-55.04,24.46,-84.38,-14.24,-0.15,0.08,-0.25,-0.04,-360.99,193.59,-630.23,-102.14
LEPA,EDDN,1,18,-0.7,13.14,-13.7,29.96,-0.02,0.06,-0.1,0.08,-44.46,145.76,-253.1,196.04
LEPA,EDDP,0,16,-29.74,25.28,-60.4,5.4,-0.06,0.08,-0.18,0.05,-165.03,210.87,-503.85,152.0
LEPA,EDDP,1,32,-41.82,25.89,-81.48,-6.41,-0.09,0.08,-0.21,0.02,-245.19,217.37,-578.75,54.25
LEPA,EDDP,2,16,-51.49,26.16,-87.08,-9.75,-0.1,0.05,-0.15,0.01,-263.13,141.7,-419.18,21.58
LEPA,EDDP,3,22,-41.69,24.77,-73.53,-11.75,-0.1,0.07,-0.19,-0.0,-260.93,178.15,-485.16,-2.09
LEPA,EDDS,0,58,1.51,12.41,-13.14,23.12,0.0,0.07,-0.11,0.1,7.63,175.66,-269.04,252.87
LEPA,EDDS,1,110,-5.5,11.62,-22.64,10.6,0.0,0.07,-0.11,0.11,4.03,166.11,-261.88,285.97
LEPA,EDDS,2,71,-14.01,10.86,-30.15,4.65,-0.03,0.07,-0.13,0.08,-66.15,154.45,-303.6,200.3
LEPA,EDDV,0,35,-6.17,15.02,-24.79,13.04,-0.02,0.06,-0.15,0.07,-62.14,152.91,-363.9,171.41
LEPA,EDDV,1,88,-6.28,14.94,-30.37,17.34,-0.01,0.06,-0.1,0.08,-24.2,134.16,-229.9,188.42
LEPA,EDDW,0,35,-5.8,10.67,-20.96,13.11,0.01,0.06,-0.09,0.08,16.05,134.53,-218.98,188.29
LEPA,EDDW,1,41,-6.81,12.92,-30.4,11.0,0.01,0.06,-0.07,0.12,29.64,131.46,-163.1,255.4
LEPA,EDJA,0,53,-13.81,22.94,-52.66,20.54,-0.0,0.09,-0.13,0.13,-10.67,227.6,-308.28,321.3
LEPA,EDLP,0,31,-1.91,13.14,-21.1,17.35,0.04,0.07,-0.1,0.12,87.96,174.37,-239.25,307.65
LEPA,EDLP,1,36,-2.32,21.42,-24.42,28.22,-0.01,0.09,-0.13,0.15,-32.59,230.85,-316.32,383.68
LEPA,EDLV,0,26,-11.79,16.44,-30.7,2.7,0.0,0.08,-0.09,0.06,13.69,192.35,-196.15,127.5
