ADEP,ADES,cluster_kmeans,n_flights,mean_duration_h,most_common_ac,mean_total_dist_nm,mean_BGGLFIR,mean_EGGXFIR,mean_EGTTFIR,mean_EGTTUIR,mean_EISNUIR,mean_ENORFIR,mean_LECBFIR,mean_LPPOFIR,mean_LPPCFIR,mean_LFBBFIR,mean_LFFFFIR,mean_LFEEFIR,mean_EDGGFIR,mean_EDMMFIR,mean_EDWWFIR,mean_LGGGFIR,mean_LGGGUIR,mean_LIRRUIR,mean_LIMMUIR,mean_LFFFUIR,mean_LJLAFIR,mean_LOVVFIR,mean_LDZOFIR,mean_LSASUIR,mean_EBURUIR,mean_EDUUUIR,mean_LAAAFIR,mean_LYBAUIR,mean_EGPXUIR,mean_BIRDFIR,mean_CZQMFIR,mean_CZULFIR,mean_CZQXFIR,mean_cost_eur,std_cost_eur,n_clusters_od
BIKF,EIDW,0,36,2.0935185185185183,B752,1192.7663888888887,0.0,760.4269444444444,0.0,0.0,116.54805555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.87361111111112,432.33944444444444,0.0,0.0,0.0,8573.14,1635.05,2
BIKF,EIDW,1,18,2.1324074074074075,A20N,992.4294444444445,0.0,534.656111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.7494444444444,457.7733333333333,0.0,0.0,0.0,6949.35,742.27,2
BIKF,EKCH,0,157,2.7457537154989384,B38M,1779.8935668789807,0.0,0.0,0.0,0.0,0.0,601.8452866242038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.80477707006369,1178.048280254777,0.0,0.0,0.0,8704.51,2180.11,1
BIKF,ENGM,0,89,2.2121722846441947,B38M,1785.7452808988762,0.0,0.0,0.0,0.0,0.0,629.6248314606742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.1204494382023,0.0,0.0,0.0,7448.51,1598.5,1
BIKF,ESSA,0,62,2.564516129032258,B38M,1807.8667741935485,0.0,0.0,0.0,0.0,0.0,681.0148387096774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.8519354838709,0.0,0.0,0.0,7654.83,1455.94,1
BIKF,LFPG,0,18,2.9916666666666667,B38M,1313.0261111111113,0.0,788.2883333333334,0.0,503.9694444444445,337.9888888888889,0.0,0.0,0.0,0.0,0.0,87.29777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.33111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.07777777777778,437.44,0.0,0.0,0.0,11961.48,4589.76,4
BIKF,LFPG,1,25,2.9539999999999997,A21N,1084.2692,0.0,325.278,58.0912,532.6276,0.0,0.0,0.0,0.0,0.0,0.0,176.04840000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.790399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.9112,524.8516,0.0,0.0,0.0,11634.63,2736.25,4
BIKF,LFPG,2,40,2.9454166666666666,B38M,960.72025,0.0,367.59250000000003,2.837,591.9085,0.0,0.0,0.0,0.0,0.0,0.0,78.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.8287499999999,512.21075,0.0,0.0,0.0,11000.43,2823.5,4
BIKF,LFPG,3,15,2.9644444444444447,B38M,831.7733333333333,0.0,0.0,0.0,588.78,0.0,0.0,0.0,0.0,0.0,0.0,105.73333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.71333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.67,726.0399999999998,0.0,0.0,0.0,14150.66,5164.03,4
BIKF,LIMC,0,34,3.909313725490196,A21N,1089.3141176470588,0.0,33.457647058823525,0.0,188.18058823529412,0.0,184.29705882352943,0.0,0.0,0.0,0.0,0.0,0.0,2.540294117647059,0.0,0.0,0.0,0.0,0.0,18.26,0.0,0.0,0.0,0.0,173.04323529411766,0.0,337.3552941176471,0.0,0.0,582.5729411764705,869.0191176470588,0.0,0.0,0.0,13718.72,2674.77,2
